DateTime,AddedIPs,RemovedIPs
1547261561,59,60
1547262745,21,32
1547265151,49,29
1547267068,29,51
1547268517,23,25
1547273059,59,35
1547274970,30,31
1547276664,29,24
1547280180,49,85
1547281946,32,0
1547283853,22,48
1547286247,42,47
1547287940,45,26
1547289643,25,29
1547291080,32,24
1547292735,27,18
1547295158,32,55
1547296113,6,0
1547297074,16,26
1547298761,21,25
1547300659,29,22
1547302343,26,25
1547304515,16,29
1547305485,8,21
1547307140,21,0
1547308812,22,26
1547310738,18,40
1547311715,11,24
1547313169,33,23
1547314339,21,0
1547316736,42,39
1547318682,28,50
1547320846,22,15
1547322521,19,29
1547323475,11,13
1547324421,11,11
1547327326,34,34
1547328984,22,32
1547330672,21,26
1547333569,37,23
1547336679,41,51
1547337628,6,0
1547339562,35,20
1547341934,51,37
1547343607,43,12
1547345078,26,24
1547346744,40,45
1547349142,40,28
1547350818,26,17
1547352290,27,41
1547354446,32,20
1547356353,24,39
1547358495,31,54
1547360439,21,32
1547362342,31,58
1547365945,50,61
1547368841,40,37
1547370529,25,27
1547371717,19,17
1547373386,33,23
1547376510,42,72
1547378180,27,40
1547379847,29,0
1547382156,32,41
1547383956,29,46
1547385386,30,0
1547388046,43,25
1547389945,20,24
1547390894,12,0
1547392368,21,30
1547395495,26,24
1547397886,16,27
1547398818,9,26
1547400485,14,14
1547401947,8,14
1547404358,19,20
1547406760,29,33
1547407965,23,18
1547409401,11,17
1547411080,12,11
1547413487,31,29
1547414920,15,0
1547416593,11,9
1547418255,20,13
1547420432,23,44
1547423798,33,42
1547426671,26,49
1547429073,16,51
1547431723,32,31
1547433612,23,34
1547435571,22,27
1547437468,26,26
1547440116,54,35
1547442019,18,36
1547443008,7,68
1547444908,22,0
1547446583,27,58
1547448035,18,0
1547449966,32,37
1547452094,23,45
1547453796,38,60
1547454862,14,0
1547456661,24,74
1547458353,28,0
1547460761,39,59
1547462416,18,0
1547464368,43,36
1547465291,20,35
1547466255,7,0
1547467218,14,25
1547494365,351,297
1547498917,59,59
1547509967,179,145
1547513068,110,50
1547517872,238,82
1547520969,92,46
1547527257,130,124
1547530370,58,38
1547534452,64,56
1547551964,279,193
1547566093,147,154
1547571622,60,56
1547575246,28,82
1547578347,46,36
1547582204,37,61
1547584596,21,28
1547587935,35,42
1547591537,53,34
1547593936,26,56
1547597800,56,40
1547602352,67,39
1547606206,54,45
1547609780,48,50
1547613135,57,56
1547616519,72,46
1547620371,70,48
1547622968,54,42
1547627796,92,71
1547631882,94,72
1547634037,52,0
1547645056,179,163
1547653709,135,138
1547658047,54,42
1547662361,64,40
1547666438,31,39
1547670763,41,57
1547678185,133,86
1547681566,49,39
1547686593,71,49
1547692364,79,79
1547697174,66,37
1547702672,72,67
1547706749,25,31
1547712278,61,131
1547715161,38,41
1547718736,60,49
1547723565,64,72
1547725454,24,60
1547729060,45,50
1547733679,65,38
1547803225,500,990
1547805637,39,56
1547809483,77,40
1547812118,49,23
1547815229,44,44
1547820042,73,80
1547823874,51,74
1547828649,50,0
1547843088,178,147
1547850031,75,54
1547871642,479,302
1547913866,500,622
1547928761,227,163
1547942210,156,201
1547969291,435,398
1547980593,134,249
1547991649,102,62
1547994257,24,35
1548001490,69,69
1548015648,124,226
1548032682,120,392
1548060249,297,525
1548063158,41,60
