DateTime,Entries,UniqueIPs
1547261562,10872,11144
1547262746,10863,11131
1547265152,11029,11304
1547267070,11218,11498
1547268518,11159,11445
1547273060,11129,11418
1547274971,11258,11551
1547276665,11433,11734
1547280181,11379,11680
1547281947,11414,11713
1547283854,11568,11872
1547286248,11550,11852
1547287941,11512,11819
1547289644,11667,11978
1547291081,11635,11947
1547292736,11777,12096
1547295159,11779,12095
1547296114,11713,12030
1547297075,11752,12066
1547298763,11710,12024
1547300661,11714,12022
1547302344,11708,12021
1547304516,11483,11796
1547305486,11628,11945
1547307141,11593,11905
1547308813,11567,11872
1547310740,11294,11598
1547311716,11433,11741
1547313170,11424,11728
1547314340,11398,11711
1547316737,11178,11491
1547318683,11033,11337
1547320847,10913,11200
1547322522,10911,11198
1547323476,10891,11175
1547324423,11078,11364
1547327327,10922,11208
1547328985,10793,11075
1547330673,10614,10895
1547333570,10442,10714
1547336681,10198,10459
1547337629,10316,10580
1547339563,10137,10394
1547341935,10309,10572
1547343608,10329,10591
1547345079,10526,10790
1547346745,10488,10750
1547349143,10518,10787
1547350819,10544,10812
1547352291,10510,10782
1547354447,10475,10746
1547356354,10485,10753
1547358496,10646,10926
1547360441,10684,10970
1547362343,10675,10957
1547365946,10637,10920
1547368842,10368,10642
1547370530,10344,10619
1547371718,10543,10823
1547373387,10483,10764
1547376512,10335,10612
1547378181,10320,10594
1547379848,10283,10561
1547382157,10353,10637
1547383957,10170,10451
1547385387,10171,10447
1547387767,10148,10420
1547389946,10129,10397
1547390895,10282,10558
1547392369,10147,10414
1547395496,10015,10273
1547397888,10039,10294
1547398819,10038,10295
1547400486,10015,10270
1547401948,9978,10229
1547404359,9994,10243
1547406761,10039,10292
1547407966,9973,10219
1547409402,10007,10247
1547411081,9886,10127
1547413489,10046,10290
1547414921,10046,10288
1547416594,10066,10314
1547418256,10059,10306
1547420433,10052,10306
1547423799,10069,10324
1547426672,9947,10199
1547429075,9915,10173
1547431724,9756,10007
1547433613,9744,9994
1547435572,9698,9942
1547437469,9646,9888
1547440117,9635,9875
1547442021,9614,9853
1547443009,9625,9863
1547444909,9615,9854
1547446584,9776,10020
1547448036,9703,9940
1547449967,9706,9942
1547452095,9866,10103
1547453797,9880,10116
1547454863,10036,10276
1547456662,10066,10305
1547458354,9868,10094
1547460762,9863,10086
1547462418,9986,10214
1547464369,9957,10192
1547465292,9927,10161
1547466257,9925,10156
1547467219,10049,10284
1547494366,7957,8156
1547498918,7587,7771
1547509968,6892,7059
1547513070,6924,7097
1547517873,6833,7009
1547520970,6672,6842
1547527258,6342,6504
1547530371,6196,6353
1547534453,5857,6003
1547551965,4057,4150
1547566094,3904,4000
1547571623,4267,4369
1547575248,4618,4728
1547578348,4941,5057
1547582205,4872,4984
1547584597,5260,5378
1547587936,5299,5417
1547591538,5670,5796
1547593937,5963,6093
1547597801,6086,6220
1547602353,6176,6311
1547606207,6261,6402
1547609781,6323,6464
1547613136,6623,6770
1547616520,6679,6824
1547620372,6766,6912
1547622970,6859,6995
1547627798,7156,7299
1547631883,7504,7654
1547634038,7817,7979
1547645058,7838,8001
1547653711,7816,7977
1547658048,7806,7971
1547662362,7806,7975
1547666439,7816,7975
1547670764,7888,8056
1547678186,7251,7406
1547681567,7263,7420
1547686594,7150,7307
1547692365,7134,7294
1547697176,6775,6925
1547702673,6712,6862
1547706750,6639,6792
1547712279,6172,6318
1547715162,6075,6220
1547718737,5927,6071
1547723566,5809,5944
1547725456,6032,6170
1547729061,6252,6398
1547733680,6234,6384
1547803226,2291,2350
1547805638,2242,2295
1547809484,2538,2599
1547812119,2306,2357
1547815230,2657,2721
1547820043,2692,2762
1547823875,2736,2805
1547828650,3111,3188
1547843089,3524,3607
1547850032,3830,3922
1547871643,4139,4241
1547913867,2338,2366
1547928762,2351,2377
1547942211,1899,1915
1547969293,1874,1892
1547980594,2213,2236
1547991650,2499,2536
1547994259,2776,2821
1548001491,2678,2735
1548015650,2665,2729
1548032683,2695,2760
1548060251,2696,2759
1548063159,2989,3067
1548066277,3258,3348
1548084293,2865,2927
1548085958,3193,3264
1548089293,3256,3321
1548092677,3645,3715
1548095561,3943,4025
1548098686,4308,4398
1548102021,4642,4743
1548105394,4644,4746
1548108517,4980,5092
1548111412,5293,5417
1548114272,5573,5713
1548117145,5901,6052
1548119770,5882,6025
1548122920,6215,6362
1548126274,6550,6709
1548128209,6805,6974
1548131562,7123,7303
1548133963,7358,7549
1548137317,7587,7784
1548139718,7813,8016
1548142594,8106,8321
1548145932,8272,8496
1548148331,8261,8489
1548150271,8202,8430
1548152887,8160,8392
1548155531,8320,8555
1548157927,8469,8713
1548159870,8686,8938
1548162035,8837,9097
1548164190,9047,9319
1548166365,9224,9502
1548168758,9424,9707
1548171876,9445,9726
1548174008,9452,9734
1548178599,9427,9717
1548180997,9449,9737
1548183878,9533,9827
1548186031,9507,9805
1548189138,9449,9743
1548192032,9404,9686
1548194199,9634,9921
1548196592,9618,9900
1548199247,9634,9918
1548222043,7865,8083
1548222996,8169,8390
1548224671,8198,8422
1548225644,8359,8585
1548226575,8268,8496
1548227544,8403,8640
1548228514,8573,8815
1548229484,8445,8686
1548230434,8573,8819
1548231387,8713,8962
1548232364,8658,8908
1548234029,8820,9073
1548236455,8844,9095
1548238574,8810,9061
1548239647,8849,9101
1548241474,8996,9250
1548243379,9001,9256
1548245568,8996,9248
1548247456,8942,9189
1548249855,8976,9220
1548252257,8949,9193
1548253945,9017,9259
1548256120,8986,9235
